;52;56;60;65;71;79;88;>88;94;>94;110;>110
1;0,35;0,34;0,32;0,31;0,29;0,28;0,26;0,24;0,25;0,24;0,24;0,22
2;0,69;0,67;0,65;0,62;0,58;0,55;0,52;0,47;0,50;0,47;0,47;0,44
3;1,04;1,01;0,97;0,93;0,88;0,83;0,78;0,71;0,76;0,71;0,71;0,66
4;1,39;1,35;1,30;1,23;1,17;1,10;1,04;0,95;1,01;0,95;0,94;0,88
5;1,74;1,68;1,62;1,54;1,46;1,38;1,30;1,18;1,26;1,18;1,18;1,10
6;2,08;2,02;1,95;1,85;1,75;1,65;1,56;1,42;1,51;1,42;1,41;1,32
7;2,43;2,36;2,27;2,16;2,05;1,93;1,82;1,65;1,76;1,65;1,65;1,55
8;2,78;2,69;2,60;2,47;2,34;2,20;2,08;1,89;2,02;1,89;1,88;1,77
9;3,13;3,03;2,92;2,78;2,63;2,48;2,34;2,13;2,27;2,13;2,12;1,99
10;3,47;3,37;3,25;3,09;2,92;2,75;2,60;2,36;2,52;2,36;2,35;2,21
11;3,82;3,70;3,57;3,40;3,22;3,03;2,86;2,60;2,77;2,60;2,59;2,43
12;4,17;4,04;3,90;3,70;3,51;3,31;3,13;2,84;3,02;2,84;2,82;2,65
13;4,51;4,38;4,22;4,01;3,80;3,58;3,39;3,07;3,27;3,07;3,06;2,87
14;4,86;4,71;4,55;4,32;4,09;3,86;3,65;3,31;3,53;3,31;3,29;3,09
15;5,21;5,05;4,87;4,63;4,39;4,13;3,91;3,55;3,78;3,55;3,53;3,31
16;5,56;5,39;5,19;4,94;4,68;4,41;4,17;3,78;4,03;3,78;3,76;3,53
17;5,90;5,72;5,52;5,25;4,97;4,68;4,43;4,02;4,28;4,02;4,00;3,75
18;6,25;6,06;5,84;5,56;5,26;4,96;4,69;4,26;4,53;4,26;4,24;3,97
19;6,60;6,40;6,17;5,86;5,56;5,23;4,95;4,49;4,79;4,49;4,47;4,19
20;6,94;6,73;6,49;6,17;5,85;5,51;5,21;4,73;5,04;4,73;4,71;4,42
21;7,29;7,07;6,82;6,48;6,14;5,79;5,47;4,96;5,29;4,96;4,94;4,64
22;7,64;7,41;7,14;6,79;6,43;6,06;5,73;5,20;5,54;5,20;5,18;4,86
23;7,99;7,74;7,47;7,10;6,73;6,34;5,99;5,44;5,79;5,44;5,41;5,08
24;8,33;8,08;7,79;7,41;7,02;6,61;6,25;5,67;6,05;5,67;5,65;5,30
25;8,68;8,42;8,12;7,72;7,31;6,89;6,51;5,91;6,30;5,91;5,88;5,52
26;9,03;8,75;8,44;8,02;7,60;7,16;6,77;6,15;6,55;6,15;6,12;5,74
27;9,38;9,09;8,77;8,33;7,89;7,44;7,03;6,38;6,80;6,38;6,35;5,96
28;9,72;9,43;9,09;8,64;8,19;7,71;7,29;6,62;7,05;6,62;6,59;6,18
29;10,07;9,76;9,42;8,95;8,48;7,99;7,55;6,86;7,30;6,86;6,82;6,40
30;10,42;10,10;9,74;9,26;8,77;8,26;7,81;7,09;7,56;7,09;7,06;6,62
31;10,76;10,44;10,06;9,57;9,06;8,54;8,07;7,33;7,81;7,33;7,29;6,84
32;11,11;10,77;10,39;9,88;9,36;8,82;8,33;7,57;8,06;7,57;7,53;7,06
33;11,46;11,11;10,71;10,19;9,65;9,09;8,59;7,80;8,31;7,80;7,76;7,28
34;11,81;11,45;11,04;10,49;9,94;9,37;8,85;8,04;8,56;8,04;8,00;7,51
35;12,15;11,78;11,36;10,80;10,23;9,64;9,11;8,27;8,82;8,27;8,24;7,73
36;12,50;12,12;11,69;11,11;10,53;9,92;9,38;8,51;9,07;8,51;8,47;7,95
37;12,85;12,46;12,01;11,42;10,82;10,19;9,64;8,75;9,32;8,75;8,71;8,17
38;13,19;12,79;12,34;11,73;11,11;10,47;9,90;8,98;9,57;8,98;8,94;8,39
39;13,54;13,13;12,66;12,04;11,40;10,74;10,16;9,22;9,82;9,22;9,18;8,61
40;13,89;13,47;12,99;12,35;11,70;11,02;10,42;9,46;10,08;9,46;9,41;8,83
41;14,24;13,80;13,31;12,65;11,99;11,29;10,68;9,69;10,33;9,69;9,65;9,05
42;14,58;14,14;13,64;12,96;12,28;11,57;10,94;9,93;10,58;9,93;9,88;9,27
43;14,93;14,48;13,96;13,27;12,57;11,85;11,20;10,17;10,83;10,17;10,12;9,49
44;15,28;14,81;14,29;13,58;12,87;12,12;11,46;10,40;11,08;10,40;10,35;9,71
45;15,63;15,15;14,61;13,89;13,16;12,40;11,72;10,64;11,34;10,64;10,59;9,93
46;15,97;15,49;14,94;14,20;13,45;12,67;11,98;10,87;11,59;10,87;10,82;10,15
47;16,32;15,82;15,26;14,51;13,74;12,95;12,24;11,11;11,84;11,11;11,06;10,38
48;16,67;16,16;15,58;14,81;14,04;13,22;12,50;11,35;12,09;11,35;11,29;10,60
49;17,01;16,50;15,91;15,12;14,33;13,50;12,76;11,58;12,34;11,58;11,53;10,82
50;17,36;16,84;16,23;15,43;14,62;13,77;13,02;11,82;12,59;11,82;11,76;11,04
51;17,71;17,17;16,56;15,74;14,91;14,05;13,28;12,06;12,85;12,06;12,00;11,26
52;18,06;17,51;16,88;16,05;15,20;14,33;13,54;12,29;13,10;12,29;12,24;11,48
53;18,40;17,85;17,21;16,36;15,50;14,60;13,80;12,53;13,35;12,53;12,47;11,70
54;18,75;18,18;17,53;16,67;15,79;14,88;14,06;12,77;13,60;12,77;12,71;11,92
55;19,10;18,52;17,86;16,98;16,08;15,15;14,32;13,00;13,85;13,00;12,94;12,14
56;19,44;18,86;18,18;17,28;16,37;15,43;14,58;13,24;14,11;13,24;13,18;12,36
57;19,79;19,19;18,51;17,59;16,67;15,70;14,84;13,48;14,36;13,48;13,41;12,58
58;20,14;19,53;18,83;17,90;16,96;15,98;15,10;13,71;14,61;13,71;13,65;12,80
59;20,49;19,87;19,16;18,21;17,25;16,25;15,36;13,95;14,86;13,95;13,88;13,02
